Dream;Black;73;271.78;6582
Clear;Threat;955;544.76;2481
Successful;Detail;3;520.65;481
Camera;Either;28;41.84;2862
Throw;Same;738;723.63;4329
Tax;Rich;549;962.16;70
Ability;Ask;130;487.29;8070
Road;Take;627;440.37;6445
Thus;Our;505;838.12;6133
Modern;Thank;481;10.27;2036
Blue;Feel;256;998.74;4244
According;Argue;840;105.89;884
Of;Source;30;71.04;3153
Today;Popular;208;162.71;1250
Draw;Address;989;299.73;4805
Who;Interview;485;559.13;6142
Away;Main;52;438.96;1815
Again;Budget;107;258.75;5155
Though;Level;274;432.28;3312
Impact;Hotel;743;235.87;7466
Between;Watch;250;8.52;2834
Represent;Administration;608;466.16;4883
Choice;Well;823;596.95;3101
Ability;Its;58;514.99;7796
High;Field;34;935.22;8
Tax;Him;282;600.04;9001
Product;Finish;931;276.21;2373
Religious;Authority;318;75.55;949
Determine;Family;854;282.04;2749
Thus;Hear;325;980.47;6175
Financial;Central;1;345.7;6777
Tough;Rule;979;778.36;8979
Special;Use;615;424.07;5472
Government;Stand;931;944.49;5077
World;Land;861;319.33;7908
Parent;Head;300;54.91;1004
Performance;Laugh;794;530.06;2344
Real;Million;807;644.24;8782
Day;Need;524;613.58;9026
Mrs;Group;453;424.03;6717
Book;Agent;56;323.44;5595
Husband;Off;547;911.68;4867
Member;Mouth;6;118.2;8478
Policy;Staff;114;113.32;7565
Seven;Themselves;396;47.66;2518
Case;Republican;383;585.28;328
Call;Player;464;220.85;8654
Seven;Left;766;756.56;1561
Two;Force;399;622.15;6194
Guess;Produce;161;120.79;2971
Apply;Note;109;428.95;9321
Bit;Blood;703;823.0;4598
Cost;Cover;4;382.92;4620
Meeting;Fly;185;962.09;6667
Color;Federal;877;48.54;7565
Really;Direction;193;437.22;2312
Official;However;620;661.91;8945
Form;Both;106;764.35;8598
Near;Represent;619;63.96;8699
Section;Risk;185;353.77;744
Simple;Despite;427;74.66;5855
Second;But;857;866.32;834
Bed;Send;649;467.37;6214
Hope;Republican;395;717.54;8097
Fish;Machine;25;307.94;2408
Work;World;807;952.41;1235
Carry;Stop;482;997.97;4034
Yeah;Travel;949;671.59;7249
Would;Reality;342;166.57;9310
Increase;Short;457;923.56;5706
Economy;Health;919;320.47;5713
Out;Fly;885;151.67;3977
Everyone;Easy;690;224.39;5875
Activity;Back;94;26.7;557
A;Lead;16;224.75;4706
Allow;Media;590;838.99;3031
Away;Clearly;871;481.54;1239
Wrong;Together;519;123.69;2407
Approach;Board;117;991.8;6764
Common;Pay;991;662.06;8397
Record;Low;566;431.23;7404
Simply;Range;72;488.08;8979
Window;Positive;334;907.01;1745
Six;Whether;612;416.73;9829
Deal;Attack;167;5.43;7072
Area;Threat;339;923.06;6855
Almost;Would;823;732.53;6046
End;Too;287;317.47;556
Sound;Beautiful;400;541.29;6812
You;Body;673;992.77;2878
Number;Laugh;769;750.43;2016
On;Every;1000;529.62;8880
Truth;Fly;807;5.43;6392
Happen;Positive;574;407.45;7656
Operation;Here;714;256.51;9551
Family;Ability;35;804.51;7287
Finally;Appear;330;516.49;6101
Can;Employee;663;691.46;302
Threat;Firm;527;839.53;6214
Particular;Later;122;16.96;2948
Talk;Respond;430;849.51;7097
Until;Card;552;880.68;8904
Detail;Watch;466;148.71;313
Series;Next;111;857.97;1423
Left;Right;993;864.72;2773
Charge;Sing;898;947.02;7263
Material;Within;799;956.06;9426
Analysis;Expect;181;868.83;2933
Live;Main;640;14.08;1754
Happy;Beautiful;382;398.21;5062
Officer;General;819;184.24;8435
Prepare;Leader;735;739.13;8978
Type;Morning;299;208.23;4219
Hair;At;529;995.21;287
Throughout;Order;931;794.71;9080
Member;Social;975;240.22;7660
Certain;Either;155;747.5;521
Rock;Particular;345;837.47;6767
Out;Turn;72;323.78;5013
View;First;212;784.67;2761
Trouble;Discover;373;899.16;3599
Somebody;Get;271;1.3;4505
Particular;Place;771;505.36;4584
Half;World;665;540.35;3449
Matter;Career;50;701.03;7938
Page;Kid;816;284.9;8435
His;Hundred;789;821.29;1334
Involve;Sure;648;753.06;7597
Affect;Issue;490;709.08;7688
Three;Statement;745;536.4;5795
Vote;Though;51;71.65;7610
Fly;Professional;938;354.95;3771
Girl;Personal;232;158.22;2069
Reduce;Bar;808;456.47;1493
Seat;People;690;391.76;7467
Purpose;Want;143;892.02;7024
Expect;Wonder;939;310.58;4787
Sound;Arrive;902;741.32;4660
Dinner;Quality;362;940.74;176
Player;Executive;658;962.08;9809
Agent;Ten;408;688.34;3445
During;Between;314;484.09;6549
Sometimes;Call;500;675.67;1645
Suffer;Send;654;814.46;1881
Ten;Organization;547;187.37;1199
Term;Really;245;441.8;147
Ok;Despite;276;649.19;5466
When;Follow;445;86.54;3736
Fall;Knowledge;70;334.41;2032
Alone;Responsibility;403;128.6;8382
Also;Go;829;536.05;7936
Now;Blood;805;272.36;4399
Myself;Nearly;670;522.83;6772
Laugh;See;945;438.11;4941
Bag;Growth;324;507.48;8376
It;Site;297;27.25;646
How;Few;61;688.53;1712
Pick;Give;938;520.84;362
Order;Including;444;454.63;1802
Seek;Condition;381;457.02;5997
Task;Majority;55;439.27;4904
Quickly;Thing;950;648.19;314
Information;Purpose;351;22.1;9461
Arm;Doctor;359;727.77;2749
Blood;Safe;894;732.8;1631
Food;Key;373;190.13;4206
Out;Message;591;426.94;2894
Thus;Environment;91;460.64;9119
Our;Then;96;51.03;3573
Argue;Just;343;842.66;4181
Our;Turn;516;711.29;3660
Represent;Music;938;916.77;1873
Lose;To;816;457.79;4626
I;She;92;273.57;7838
Six;Stage;854;542.29;6991
Different;Thing;798;700.76;6034
Budget;Family;308;262.83;2867
Reduce;All;74;251.09;7164
Sure;Theory;537;833.8;9229
Tell;Particularly;159;119.56;7801
Sign;Technology;387;759.01;904
Eye;Which;52;957.51;115
Whose;Deep;590;906.24;7493
Deep;Reflect;162;926.16;3244
Tv;Power;325;682.6;6770
Note;Mind;385;436.66;859
Environmental;Best;347;140.8;4917
Peace;Stop;588;613.08;1207
Until;But;967;287.1;7297
Kind;Start;912;730.32;6266
Yourself;Citizen;413;761.49;6974
Bar;Dream;629;796.21;2568
Finally;Role;648;702.02;1557
Behind;Environmental;740;395.95;4939
Method;Almost;548;838.24;6157
Mother;Eye;939;423.4;7361
Agency;Fund;601;168.54;2480
Show;Possible;882;256.92;96
Student;Number;689;86.72;5772
Future;Old;212;159.94;5700
Article;Operation;818;887.64;6497
Perform;Light;530;101.59;9365
Personal;Establish;733;458.15;2478
Join;Yeah;167;623.84;9505
Chair;Feel;809;504.12;4287
Measure;Everybody;928;415.12;8537
List;Along;754;671.43;7527
Oil;Whole;372;384.77;2350
Growth;Work;337;194.4;5700
Always;Decide;991;514.9;6033
Front;Call;735;815.03;4762
Attack;Watch;395;933.58;7186
If;According;113;995.72;5878
Expert;Pull;252;880.53;4826
Certainly;Edge;777;309.93;7491
Vote;Sit;141;449.39;966
Far;Offer;20;514.42;7575
Act;Give;232;161.31;8876
Hope;Model;580;729.8;7430
Benefit;Man;957;73.08;5940
Well;Easy;148;567.34;4005
Simple;Main;70;444.47;4643
Practice;Surface;118;741.11;4008
Industry;Agreement;124;879.47;9414
Effect;Truth;67;689.35;1975
Or;Court;784;297.91;1680
Statement;Wife;517;969.34;9058
Fill;Line;992;421.31;4126
Ahead;Project;670;200.62;5924
Beautiful;Trouble;959;905.64;8084
His;Party;551;438.91;659
Material;Draw;796;709.26;2296
Vote;Sign;601;258.31;9071
Entire;Let;951;458.75;8012
Cost;Focus;415;293.49;5762
Leg;Beyond;38;909.17;861
Rest;Great;931;988.84;7194
Budget;Personal;17;467.05;4065
Order;Special;616;452.86;5298
Determine;Program;686;294.25;2903
Evening;Account;110;120.92;9855
Ask;Price;501;265.89;2880
Seem;Meet;125;303.25;901
Such;High;611;969.09;9676
Sure;Seven;160;551.48;5430
Effort;A;453;93.33;2820
Major;Politics;107;967.42;6114
Parent;Especially;11;25.15;4718
Peace;Assume;795;341.49;5391
Describe;Trouble;983;548.45;3124
Meeting;Quickly;433;387.97;6987
Institution;Leave;448;787.83;6257
Positive;Example;570;803.91;6591
Make;Decision;864;550.84;3968
Dark;Dark;631;760.27;3761
Statement;Court;689;87.56;4422
Matter;Within;461;805.15;7302
Responsibility;Occur;406;447.82;4294
Education;Throw;178;328.89;7538
Plant;No;262;457.33;6447
Add;Method;357;999.09;6330
Brother;Leg;566;765.64;7543
Executive;Me;581;800.98;5071
Seem;That;834;827.3;7679
Other;At;362;712.86;8222
Interesting;Tend;398;982.63;7554
Beautiful;Movement;372;694.26;9159
Also;True;277;518.03;9214
Drop;Item;567;931.21;5688
Little;Catch;179;773.88;9938
Success;Least;797;757.44;6610
Expert;Newspaper;259;82.58;7461
Candidate;Exactly;221;158.12;1994
Anyone;Method;972;345.83;1061
Condition;Likely;860;580.35;3062
Factor;Admit;74;11.55;3964
Condition;Major;733;735.95;525
Suffer;Be;29;863.7;4988
Foreign;Ball;310;357.35;521
Radio;Look;170;995.02;7435
Might;Five;266;794.35;5695
Walk;Imagine;673;137.7;1227
Win;Finish;516;1.63;5656
Simply;Record;481;464.57;3915
Road;Offer;137;719.7;7847
Put;At;27;371.38;688
Coach;Dark;200;388.54;8141
Give;Treatment;568;667.99;1050
Response;Sign;665;941.19;7971
Make;Religious;567;766.58;3938
Chair;Blue;893;821.15;2052
Become;Reason;817;73.62;9935
Specific;Soon;285;638.22;8683
Technology;Sell;454;393.31;6776
Even;Minute;925;31.64;2069
Call;Race;86;842.79;2142
Main;Free;18;302.82;2118
Effect;Authority;171;575.09;3998
So;Artist;832;893.42;4035
Identify;Democrat;320;894.07;5320
Lose;Performance;593;761.17;3187
Now;Morning;198;573.47;9117
Summer;Ability;962;69.28;9160
Despite;Several;151;823.28;2465
Scene;Want;343;829.15;8603
Ask;Strong;973;359.62;8700
General;Support;707;646.65;395
Beat;Else;118;74.63;640
Pattern;Mr;366;964.78;4772
Game;Either;477;427.49;6299
Economy;Change;892;442.19;3047
Own;Animal;859;661.8;9507
Subject;Product;799;996.18;5931
Morning;Professional;205;752.85;8432
Mean;War;581;525.48;1824
Begin;Quality;778;264.61;6311
Environment;Hot;891;833.41;4973
Best;Here;793;293.47;1127
Case;Break;907;214.39;3749
Purpose;Wide;262;97.44;4330
Later;You;761;203.08;502
Source;Improve;14;444.66;8529
Responsibility;Think;344;895.4;1431
Coach;Majority;646;57.14;7551
Growth;Music;993;370.42;8770
Big;Travel;253;988.11;9438
Particularly;Way;912;380.09;9583
Parent;Should;901;582.87;5163
Along;Response;396;390.93;6889
Leader;Send;931;374.01;5690
Require;Color;577;965.81;4514
Offer;Draw;774;459.25;1748
Market;Mind;372;742.95;1558
Lawyer;Suggest;915;513.07;3038
Exist;Road;398;715.75;5804
Former;Yes;194;561.14;5170
Practice;Feel;747;486.2;7535
Skill;Value;106;607.24;7119
Reason;Herself;280;225.0;717
Nor;Sing;866;783.6;2171
Bed;Gas;695;683.64;2600
Both;Edge;379;840.42;9005
Bag;Television;33;336.29;8135
Seek;Very;624;905.59;2770
Everybody;Attorney;494;758.07;7126
Budget;Develop;590;145.56;1456
Both;Become;196;94.43;7962
Model;During;432;995.58;8296
Have;Government;121;672.12;9101
Happy;Few;374;865.63;9817
Paper;Employee;464;134.38;2310
Summer;East;315;561.33;7887
Recently;Likely;173;192.9;802
Town;Modern;453;618.95;7619
Day;Kind;695;933.08;705
Management;Use;94;710.75;3180
Spend;Beyond;421;892.89;5399
Name;Throw;263;683.39;683
Provide;Listen;762;551.72;8266
Become;Black;45;538.43;8288
Rather;Suggest;771;20.34;2565
Rest;Day;984;701.38;3348
Effort;Kitchen;486;317.6;1052
Same;Production;963;766.43;834
Attorney;National;929;48.71;4069
Mouth;Book;473;533.72;9220
Cause;Shake;507;81.56;6973
End;Data;57;727.09;7394
Boy;Anything;187;784.12;9792
Success;Involve;344;216.67;6061
Catch;Bring;216;493.54;1217
Add;Attention;809;975.64;5173
Body;Recent;441;359.13;5612
Majority;Prepare;394;605.04;8175
Attack;Right;419;961.0;4547
Certain;Hard;628;965.26;145
Wish;Real;186;574.56;8259
Agree;Top;847;747.32;3236
General;Of;371;494.08;5266
Treatment;Street;1;728.3;4354
Stage;Run;544;68.55;2214
Enough;Purpose;524;694.92;4336
Fine;Focus;919;976.71;332
Simple;Its;105;685.53;9426
Baby;Adult;717;438.06;2129
Inside;Test;863;846.76;3103
Reduce;Defense;526;831.75;1755
Dark;Sometimes;682;785.78;8331
Soon;Smile;444;308.63;6163
General;Letter;821;385.84;6814
Kid;Onto;619;14.81;1557
Again;Day;538;562.57;1385
Customer;Figure;817;7.29;72
