Test Number,Data Layer,Application Layer,Test,Name Lookup,Connect,App Connect,PreTransfer,Redirect,Start Transfer,Total Time
1,MySQL,Python,python-mysql-data-aggre-1,0.000024,0.000168,0.000000,0.000562,0.000000,0.079353,0.079432
2,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000066,0.000000,0.000078,0.000000,0.047425,0.047498
3,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000148,0.000000,0.000161,0.000000,0.048453,0.048492
4,MySQL,Python,python-mysql-data-aggre-1,0.000017,0.000088,0.000000,0.000105,0.000000,0.047415,0.047457
5,MySQL,Python,python-mysql-data-aggre-1,0.000021,0.000074,0.000000,0.000087,0.000000,0.048227,0.048262
6,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000119,0.000000,0.000133,0.000000,0.047079,0.047126
7,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000073,0.000000,0.000086,0.000000,0.051237,0.051272
8,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000087,0.000000,0.000100,0.000000,0.046801,0.046850
9,MySQL,Python,python-mysql-data-aggre-1,0.000028,0.000079,0.000000,0.000090,0.000000,0.048876,0.048914
10,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000069,0.000000,0.000080,0.000000,0.047986,0.048017
11,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000070,0.000000,0.000082,0.000000,0.058153,0.058192
12,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000145,0.000000,0.000155,0.000000,0.048415,0.048483
13,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000067,0.000000,0.000077,0.000000,0.046880,0.046925
14,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000087,0.000000,0.000100,0.000000,0.068645,0.068686
15,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000074,0.000000,0.000086,0.000000,0.047744,0.047779
16,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000068,0.000000,0.000080,0.000000,0.048526,0.048589
17,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000091,0.000000,0.000102,0.000000,0.048299,0.048344
18,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000092,0.000000,0.000109,0.000000,0.058756,0.058803
19,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000063,0.000000,0.000073,0.000000,0.048396,0.048431
20,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000062,0.000000,0.000073,0.000000,0.058802,0.058848
21,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000071,0.000000,0.000081,0.000000,0.048692,0.048732
22,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000067,0.000000,0.000079,0.000000,0.049617,0.049647
23,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000071,0.000000,0.000083,0.000000,0.050931,0.050985
24,MySQL,Python,python-mysql-data-aggre-1,0.000021,0.000107,0.000000,0.000122,0.000000,0.052109,0.052169
25,MySQL,Python,python-mysql-data-aggre-1,0.000023,0.000104,0.000000,0.000117,0.000000,0.051270,0.051323
26,MySQL,Python,python-mysql-data-aggre-1,0.000019,0.000146,0.000000,0.000160,0.000000,0.050309,0.050337
27,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000076,0.000000,0.000088,0.000000,0.047481,0.047514
28,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000067,0.000000,0.000078,0.000000,0.047299,0.047337
29,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000067,0.000000,0.000077,0.000000,0.048129,0.048161
30,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000065,0.000000,0.000078,0.000000,0.048148,0.048184
31,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000064,0.000000,0.000075,0.000000,0.048541,0.048582
32,MySQL,Python,python-mysql-data-aggre-1,0.000017,0.000082,0.000000,0.000095,0.000000,0.047679,0.047732
33,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.001297,0.000000,0.001313,0.000000,0.048788,0.048830
34,MySQL,Python,python-mysql-data-aggre-1,0.000018,0.000081,0.000000,0.000094,0.000000,0.046401,0.046475
35,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000071,0.000000,0.000083,0.000000,0.048816,0.048859
36,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000066,0.000000,0.000078,0.000000,0.048438,0.048501
37,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000091,0.000000,0.000103,0.000000,0.048576,0.048623
38,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000068,0.000000,0.000079,0.000000,0.046875,0.046918
39,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000062,0.000000,0.000075,0.000000,0.048684,0.048718
40,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000074,0.000000,0.000086,0.000000,0.048041,0.048076
41,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000064,0.000000,0.000076,0.000000,0.048497,0.048547
42,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000093,0.000000,0.000105,0.000000,0.048170,0.048207
43,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000057,0.000000,0.000068,0.000000,0.047451,0.047497
44,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000072,0.000000,0.000084,0.000000,0.048279,0.048309
45,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000059,0.000000,0.000070,0.000000,0.048270,0.048321
46,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000065,0.000000,0.000078,0.000000,0.046904,0.046936
47,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000075,0.000000,0.000090,0.000000,0.047305,0.047353
48,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000060,0.000000,0.000071,0.000000,0.047724,0.047768
49,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000097,0.000000,0.000110,0.000000,0.047834,0.047875
50,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000157,0.000000,0.000168,0.000000,0.048652,0.048689
51,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000132,0.000000,0.000147,0.000000,0.048141,0.048184
52,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000086,0.000000,0.000100,0.000000,0.048390,0.048435
53,MySQL,Python,python-mysql-data-aggre-1,0.000018,0.000096,0.000000,0.000112,0.000000,0.047931,0.047972
54,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000066,0.000000,0.000079,0.000000,0.046905,0.046971
55,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000073,0.000000,0.000084,0.000000,0.047672,0.047712
56,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000072,0.000000,0.000083,0.000000,0.047734,0.047772
57,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000069,0.000000,0.000080,0.000000,0.048070,0.048108
58,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000066,0.000000,0.000077,0.000000,0.056818,0.056853
59,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000066,0.000000,0.000079,0.000000,0.046941,0.046972
60,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000068,0.000000,0.000078,0.000000,0.047097,0.047150
61,MySQL,Python,python-mysql-data-aggre-1,0.000019,0.000098,0.000000,0.000119,0.000000,0.048856,0.048897
62,MySQL,Python,python-mysql-data-aggre-1,0.000017,0.000093,0.000000,0.000104,0.000000,0.047718,0.047762
63,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000097,0.000000,0.000110,0.000000,0.052383,0.052421
64,MySQL,Python,python-mysql-data-aggre-1,0.000020,0.000159,0.000000,0.000173,0.000000,0.054852,0.054903
65,MySQL,Python,python-mysql-data-aggre-1,0.000018,0.000113,0.000000,0.000125,0.000000,0.050206,0.050240
66,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000065,0.000000,0.000078,0.000000,0.046859,0.046902
67,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000068,0.000000,0.000080,0.000000,0.047409,0.047460
68,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000106,0.000000,0.000117,0.000000,0.047364,0.047404
69,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000077,0.000000,0.000091,0.000000,0.048167,0.048212
70,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000075,0.000000,0.000089,0.000000,0.047412,0.047467
71,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000099,0.000000,0.000110,0.000000,0.048802,0.048850
72,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000067,0.000000,0.000080,0.000000,0.081200,0.081246
73,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000066,0.000000,0.000076,0.000000,0.048070,0.048100
74,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000066,0.000000,0.000077,0.000000,0.047049,0.047101
75,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000078,0.000000,0.000091,0.000000,0.049042,0.049100
76,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000066,0.000000,0.000077,0.000000,0.048767,0.048810
77,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000070,0.000000,0.000080,0.000000,0.047686,0.047731
78,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000067,0.000000,0.000077,0.000000,0.047784,0.047838
79,MySQL,Python,python-mysql-data-aggre-1,0.000040,0.000097,0.000000,0.000109,0.000000,0.048737,0.048785
80,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000132,0.000000,0.000144,0.000000,0.048396,0.048444
81,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000070,0.000000,0.000081,0.000000,0.048861,0.048896
82,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000074,0.000000,0.000085,0.000000,0.047428,0.047481
83,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000095,0.000000,0.000106,0.000000,0.047240,0.047274
84,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000088,0.000000,0.000104,0.000000,0.047163,0.047223
85,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000065,0.000000,0.000077,0.000000,0.047638,0.047678
86,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000058,0.000000,0.000069,0.000000,0.048698,0.048746
87,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000074,0.000000,0.000091,0.000000,0.048190,0.048226
88,MySQL,Python,python-mysql-data-aggre-1,0.000018,0.000071,0.000000,0.000083,0.000000,0.047340,0.047378
89,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000070,0.000000,0.000082,0.000000,0.048692,0.048727
90,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000063,0.000000,0.000074,0.000000,0.047892,0.047931
91,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000076,0.000000,0.000088,0.000000,0.047946,0.047984
92,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000070,0.000000,0.000083,0.000000,0.047789,0.047826
93,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000115,0.000000,0.000128,0.000000,0.048660,0.048719
94,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000067,0.000000,0.000079,0.000000,0.048175,0.048212
95,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000116,0.000000,0.000129,0.000000,0.047673,0.047708
96,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000068,0.000000,0.000080,0.000000,0.047438,0.047473
97,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000073,0.000000,0.000086,0.000000,0.048121,0.048159
98,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000063,0.000000,0.000074,0.000000,0.046970,0.047022
99,MySQL,Python,python-mysql-data-aggre-1,0.000017,0.000076,0.000000,0.000087,0.000000,0.048298,0.048381
100,MySQL,Python,python-mysql-data-aggre-1,0.000017,0.000100,0.000000,0.000113,0.000000,0.049705,0.049740
101,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000071,0.000000,0.000082,0.000000,0.047579,0.047612
102,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000067,0.000000,0.000080,0.000000,0.045242,0.045278
103,MySQL,Python,python-mysql-app-aggre-1,0.000017,0.000092,0.000000,0.000106,0.000000,0.046651,0.046699
104,MySQL,Python,python-mysql-app-aggre-1,0.000028,0.000102,0.000000,0.000120,0.000000,0.046120,0.046156
105,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000068,0.000000,0.000080,0.000000,0.044529,0.044572
106,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000070,0.000000,0.000081,0.000000,0.041487,0.041522
107,MySQL,Python,python-mysql-app-aggre-1,0.000013,0.000056,0.000000,0.000070,0.000000,0.042549,0.042600
108,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000083,0.000000,0.000094,0.000000,0.042138,0.042171
109,MySQL,Python,python-mysql-app-aggre-1,0.000016,0.000067,0.000000,0.000079,0.000000,0.042533,0.042587
110,MySQL,Python,python-mysql-app-aggre-1,0.000030,0.000110,0.000000,0.000127,0.000000,0.043095,0.043133
111,MySQL,Python,python-mysql-app-aggre-1,0.000013,0.000069,0.000000,0.000081,0.000000,0.044148,0.044208
112,MySQL,Python,python-mysql-app-aggre-1,0.000016,0.000110,0.000000,0.000124,0.000000,0.042150,0.042213
113,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000065,0.000000,0.000076,0.000000,0.043457,0.043491
114,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000066,0.000000,0.000079,0.000000,0.041192,0.041229
115,MySQL,Python,python-mysql-app-aggre-1,0.000013,0.000063,0.000000,0.000073,0.000000,0.043115,0.043153
116,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000067,0.000000,0.000081,0.000000,0.042249,0.042298
117,MySQL,Python,python-mysql-app-aggre-1,0.000017,0.000077,0.000000,0.000089,0.000000,0.043876,0.043909
118,MySQL,Python,python-mysql-app-aggre-1,0.000040,0.000092,0.000000,0.000106,0.000000,0.043107,0.043138
119,MySQL,Python,python-mysql-app-aggre-1,0.000018,0.000070,0.000000,0.000087,0.000000,0.041829,0.041869
120,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000067,0.000000,0.000078,0.000000,0.043363,0.043399
121,MySQL,Python,python-mysql-app-aggre-1,0.000016,0.000070,0.000000,0.000083,0.000000,0.042623,0.042672
122,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000071,0.000000,0.000082,0.000000,0.042579,0.042614
123,MySQL,Python,python-mysql-app-aggre-1,0.000013,0.000066,0.000000,0.000077,0.000000,0.042726,0.042782
124,MySQL,Python,python-mysql-app-aggre-1,0.000013,0.000065,0.000000,0.000077,0.000000,0.043524,0.043581
125,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000068,0.000000,0.000079,0.000000,0.042150,0.042182
126,MySQL,Python,python-mysql-app-aggre-1,0.000013,0.000070,0.000000,0.000081,0.000000,0.041592,0.041640
127,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000075,0.000000,0.000087,0.000000,0.042045,0.042088
128,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000106,0.000000,0.000120,0.000000,0.045532,0.045571
