Language,Test Name,Data Layer (Dataset 1),Data Layer (Dataset 2),Data Layer (Dataset 3),Application Layer (Dataset 1),Application Layer (Dataset 2),Application Layer (Dataset 3)
javascript,adprocedure,0.00589164,0.00635991,0.005866639999999999,0.004004150000000001,0.00439218,0.0043007
javascript,aggre,0.02386483,0.12119589,0.2542802,0.06431711,1.47544253,6.63236183
javascript,filter,0.00378603,0.013009489999999999,0.02215104,0.00954213,0.04735738,0.09932425
javascript,procedure,0.038077679999999996,0.17490748,0.33076259999999996,0.009704629999999999,0.04487812,0.08227372000000001
javascript,sort,0.01541799,0.08054621000000001,0.1638697,0.01375054,0.07364861,0.1554603
php,adprocedure,0.00681408,0.0065284900000000005,0.006715370000000001,0.004917599999999999,0.00487923,0.00531267
php,aggre,0.02387382,0.11411412,0.23299658999999998,6.363049650000001,30.03487632,30.066538270000002
php,filter,0.00417969,0.0120421,0.02180498,0.00784048,0.03001271,0.0568926
php,procedure,0.03547539,0.1428086,0.28036207,0.00779038,0.03009419,0.05771075
php,sort,0.011839470000000001,0.053717129999999995,0.10753128,0.01969272,0.10597429,0.23514161
python,adprocedure,0.02493521,0.02488578,0.024738669999999997,0.024742350000000003,0.02438625,0.02412192
python,aggre,0.04692177,0.1500021,0.28568287000000003,0.04313589,0.14351521,0.28010954
python,filter,0.022462749999999997,0.03101625,0.04073,0.03085311,0.06632064,0.11599833999999999
python,procedure,0.06789074,0.24356963,0.46142789,0.04543006,0.14318976,0.26684531
python,sort,0.03153454,0.08115689,0.14582528,0.02939104,0.07069381,0.13432662
