Language,Test Name,Data Layer (Dataset 1),Data Layer (Dataset 2),Data Layer (Dataset 3),Application Layer (Dataset 1),Application Layer (Dataset 2),Application Layer (Dataset 3)
javascript,adprocedure,0.0007194465355922965,0.0010128899198817115,0.001001116984808832,0.0005637702193287798,0.00045853497702085417,0.0006252857553619671
javascript,aggre,0.0029673833241297336,0.007361711802497451,0.014068043785710456,0.018389803457183503,0.49622160198750676,0.8754893442276994
javascript,filter,0.000274576948424409,0.0008022839155885662,0.00181079487306631,0.00031696059261795864,0.0026674987718986517,0.01156178613258594
javascript,procedure,0.0009231823459855533,0.0017922684880712838,0.013713532689893117,0.00031658995179215295,0.001285214460545769,0.00477298073439534
javascript,sort,0.0003635609234371939,0.0015001637054102865,0.014262806871373568,0.0018536409489641643,0.0033721628820282904,0.012837446841033606
php,adprocedure,0.0012712330091432305,0.000860794559600828,0.0007980788586007365,0.0004768594181165607,0.0006256658429790673,0.0006079981674447393
php,aggre,0.0015453829770832152,0.0071908616337654175,0.004450473482925407,0.10665821111241544,0.008957786193969688,0.012304456983311082
php,filter,0.0003425343588163048,0.0006252737642849168,0.0013246226487630972,0.0003628893159856953,0.0007807810337260126,0.0007231069196686813
php,procedure,0.0006350814129787702,0.002322165489082744,0.0057349215646886765,0.0003436239870038824,0.0006363035946350242,0.0008271888258042124
php,sort,0.00047253531651458033,0.0019990437856559607,0.0033833721698771045,0.00047656284894009426,0.001966719641274204,0.003573799214089437
python,adprocedure,0.0010284078946987858,0.0007305691800703662,0.0009901547162035852,0.0010309308949692116,0.0009152627637829899,0.0008955941960734247
python,aggre,0.004984866611226141,0.0028010849718989187,0.007449570099209103,0.0006505352546755311,0.0020713743191661292,0.006783181423918879
python,filter,0.0006563864576742744,0.0007522273092945273,0.0013136406013038503,0.0014462553743996233,0.0017820075191715202,0.0024799407184793163
python,procedure,0.0014798998005939388,0.004260093440479467,0.006108966174593151,0.0008595927785582512,0.0023134571345791877,0.005777288902917847
python,sort,0.0006052627445159574,0.0010826458646213991,0.0066467758215407085,0.0006602174493332026,0.002108268389825012,0.007710369256960834
